Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Gambia,4349.09923514364,4475.74716000708,4775.61633254007,5465.02357334197,5949.79606294598,6366.82751683047,7155.63081616838,8085.5835425881,8807.19677799078,9507.24245646711,10323.9743874758
Ghana,135097.283786224,140981.776651329,155172.105727763,169624.874063503,187633.412378932,192835.215841608,214867.205475776,238935.416652575,255525.350953597,276755.794718954,294900.824817294
Guinea,26496.5950833115,29642.712048089,33281.4592175201,36138.2757866234,40482.4353367146,44550.8833337176,51260.7397428292,57087.506688242,62894.8961498385,68370.8557710381,75080.7812457296
Guinea-Bissau,3446.15812065167,3663.51573687276,3907.71265179045,3955.7634855703,4117.98440607087,4200.66219562977,4685.54715633635,5249.66759276011,5726.99021165012,6150.88524460463,6621.80433132265
Kenya,184855.939078925,194475.417275045,205511.376100806,221491.710186986,240007.066097823,250255.416690818,284129.273925386,319128.479990724,349865.873780913,375492.074491096,403145.710594275
Lesotho,5687.47912316083,5849.28493006145,5791.27838642057,5778.14482380462,5643.8770066128,5795.45966673389,5861.38015130492,6402.44709297494,6777.76945673866,7097.93627184097,7374.5181028835
Liberia,7641.09322334338,7587.96198116394,7914.52728994727,8496.2378124489,8890.33205481083,8168.45082282519,8084.00985414318,9075.52585168302,9843.00851680658,10492.2673163161,11238.4900885705
Libya,90572.8748038438,90070.2996721334,121472.935053883,129305.591220779,112565.431815076,77181.3108078597,90199.3844832022,88642.1673050586,101257.448021632,105764.10267427,125195.181645704
Madagascar,37310.1754378067,39168.7122337248,41438.4008932412,42523.5325496333,45498.3227758372,43150.1541559361,46835.6781135522,52251.8077785514,56462.5686339717,60294.5768417729,64138.0838838625
Malawi,22781.5974731999,23520.1298530233,24899.00339106,25272.1889951864,27521.3981179947,29543.364908427,33831.6239332985,36571.661575691,38642.5366411437,40314.6883164562,42285.0087759038
Mali,37841.5253336266,40436.7473570944,43344.699655637,45991.6305140827,50134.2896574617,49903.7512606467,52560.1641251667,58254.8049362764,63223.4222750949,67838.2417483765,72962.5300612785
