Country,Country_Key,Origin,target_date,y_target,f_AR,f_GRE,Horizon,signal,e0,e1,cw
Tanzania,tanzania,2021-07-01,2021-10-01,9.328219574066395,8.361955919893465,9.018577929462257,3,zgre,0.9662636541729306,0.3096416446041381,1.268939964752629
Togo,togo,2021-07-01,2021-10-01,12.296940736848285,6.556049177540455,7.2302577232860035,3,zgre,5.74089155930783,5.066683013562281,7.7411162989676505
Tunisia,tunisia,2021-07-01,2021-10-01,7.671857565637439,4.508477308466659,4.747147522506333,3,zgre,3.16338025717078,2.924710043131106,1.5100092861356575
Uganda,uganda,2021-07-01,2021-10-01,13.896537442578657,7.6547026931726165,8.127939493916488,3,zgre,6.24183474940604,5.768597948662169,5.907731815161675
Zambia,zambia,2021-07-01,2021-10-01,15.994209521784244,3.9349963907694248,3.9777045547529095,3,zgre,12.059213131014818,12.016504967031334,1.0300537038223467
Zimbabwe,zimbabwe,2021-07-01,2021-10-01,19.337188524057822,5.604322621710047,5.880067962041765,3,zgre,13.732865902347775,13.457120562016058,7.573547563945425
Algeria,algeria,2021-08-01,2021-11-01,17.81945872520677,4.21455796013335,3.650448779400571,3,zgre,13.604900765073419,14.169009945806197,-15.349298849072625
Angola,angola,2021-08-01,2021-11-01,18.67973224510749,4.216266539387275,4.303601470759262,3,zgre,14.463465705720216,14.37613077434823,2.526331569620311
Benin,benin,2021-08-01,2021-11-01,11.834080260330108,6.797331676670373,7.178463128582291,3,zgre,5.036748583659735,4.6556171317478166,3.839326601211063
Botswana,botswana,2021-08-01,2021-11-01,19.681880487155997,4.781228483579044,4.604314045938413,3,zgre,14.900652003576953,15.077566441217584,-5.272280939383137
Burkina-Faso,burkinafaso,2021-08-01,2021-11-01,6.769895041227294,6.751166078780937,7.335541880320992,3,zgre,0.01872896244635669,-0.5656468390936986,0.02188950488320656
Burundi,burundi,2021-08-01,2021-11-01,9.99279041992882,2.6337361250338738,2.0288914894528096,3,zgre,7.359054294894946,7.96389893047601,-8.902169026434002
Cameroon,cameroon,2021-08-01,2021-11-01,12.854351041197573,6.905809379498191,6.3409857930068645,3,zgre,5.948541661699382,6.513365248190708,-6.719753271508239
Cape Verde,capeverde,2021-08-01,2021-11-01,24.13813703004518,5.486189117927481,4.669544620028803,3,zgre,18.6519479121177,19.468592410016377,-30.464021275047344
Central African Republic,centralafricanrepublic,2021-08-01,2021-11-01,8.084806913446254,6.907166885537292,6.64452842095774,3,zgre,1.1776400279089625,1.4402784924885141,-0.6185871375148604
Chad,chad,2021-08-01,2021-11-01,18.30776989726186,4.237664793711151,3.9790779347602974,3,zgre,14.07010510355071,14.328691962501562,-7.276688567671073
Comoros,comoros,2021-08-01,2021-11-01,8.330789384112332,3.163261196294996,2.865500661939738,3,zgre,5.167528187817336,5.465288722172595,-3.0773719090007035
Congo,congo,2021-08-01,2021-11-01,22.43712045616394,7.272296143837863,7.189881342406857,3,zgre,15.164824312326076,15.247239113757082,-2.499611968872898
Congo DRC,congodrc,2021-08-01,2021-11-01,17.022429691810963,5.489525322513234,6.070804849949354,3,zgre,11.532904369297729,10.951624841861609,13.40768240350269
Djibouti,djibouti,2021-08-01,2021-11-01,10.885392118286148,8.201566046766198,8.174043913796352,3,zgre,2.6838260715199507,2.7113482044897967,-0.14772923601662402
Egypt,egypt,2021-08-01,2021-11-01,5.218626100393879,7.65430612570859,7.922745445167419,3,zgre,-2.435680025314711,-2.70411934477354,-1.3076645768298896
Equatorial Guinea,equatorialguinea,2021-08-01,2021-11-01,26.089566156320704,-2.3531376284555208,-2.5452100972403002,3,zgre,28.442703784776224,28.634776253561004,-10.926120669712304
Eritrea,eritrea,2021-08-01,2021-11-01,8.990929348410688,3.9389401663774977,4.304864053106676,3,zgre,5.051989182033191,4.6860652953040125,3.6972870344066955
Eswatini,eswatini,2021-08-01,2021-11-01,9.368906559058145,4.097938683483729,3.594786828533885,3,zgre,5.270967875574415,5.7741197305242595,-5.304194527952614
Ethiopia,ethiopia,2021-08-01,2021-11-01,11.192690677570807,8.908994382790933,9.301563099473551,3,zgre,2.2836962947798742,1.8911275780972563,1.7930154474691697
Gabon,gabon,2021-08-01,2021-11-01,27.22475272262568,4.947076448780825,4.831957499904417,3,zgre,22.277676273844854,22.392795222721265,-5.129165352107918
Gambia,gambia,2021-08-01,2021-11-01,12.916571578014146,8.074156691172146,8.132710967606085,3,zgre,4.8424148868420005,4.783860610408061,0.5670881997839459
Ghana,ghana,2021-08-01,2021-11-01,12.739925389050333,8.54235680888436,8.466092972810292,3,zgre,4.197568580165973,4.27383241624004,-0.64024536421487
Guinea,guinea,2021-08-01,2021-11-01,13.805489826902113,10.169992369863078,10.248105484907338,3,zgre,3.635497457039035,3.5573843419947746,0.5679600622096128
Guinea-Bissau,guineabissau,2021-08-01,2021-11-01,12.799346189533322,4.482477482740316,4.385699554709747,3,zgre,8.316868706793006,8.413646634823575,-1.6097786422914169
Ivory Coast,ivorycoast,2021-08-01,2021-11-01,13.738402375245036,9.467553890526068,5.956751377399982,3,zgre,4.270848484718968,7.781650997845054,-29.988211186664174
Kenya,kenya,2021-08-01,2021-11-01,13.983146234081698,6.5079565137491295,6.952675624400282,3,zgre,7.475189720332568,7.030470609681416,6.648719448749873
Lesotho,lesotho,2021-08-01,2021-11-01,3.2256299409910025,-0.21373486754800197,-0.12659202175317621,3,zgre,3.4393648085390045,3.3522219627441787,0.5994320742853301
Liberia,liberia,2021-08-01,2021-11-01,5.06033007309556,4.766472195979894,4.539301013692434,3,zgre,0.29385787711566635,0.5210290594031264,-0.13351208273769813
